k	term
w1438	presence
w1088	remote
w0173	jump
w2318	spontaneously
w0315	sometimes
w1567	waste
w3331	friction
w2450	dagger
w0004	able
w3201	attribute
w1642	cereal
w2389	apathetic
w2672	rehabilitation
w2730	swift
w2490	edition
w2265	praise
w2983	magnitude
w3052	premature
w1476	reorganize
w0763	twins
w0419	architect
w1673	critic
w2644	probable
w3612	compulsory
w3548	ward
w3158	welfare
w0708	sharp
w0178	late
w3802	nestle
w2588	kite
w0154	hundred
w0877	defend
w2010	attorney
w3111	solitary
w2501	envious
w0499	distance
w2894	excessive
w2868	disposable
w0804	alarm
w3116	stem
w2770	accordingly
w1299	earthquake
w3118	stimulate
w2139	gamble
w2207	mandate
w2645	prolong
w2045	colonial
w3539	vagueness
w0009	against
w0718	soccer
w0556	glad
w3775	keep
w3106	skinned
w0615	mentor
w0443	bread
w0854	command
w2886	enchant
w1905	sink
w0548	frog
w3932	upholstery
w0353	together with
w2985	manuscript
w1206	aristocrat
w3040	pest
w1272	crack
w1085	release
w2436	consumers
w3577	allusion
w3691	embitter
w2417	combine
w3660	devastate
w2837	controversy
w3318	famine
w0052	center
w2701	sibling
w0764	type
w3567	advent
w2608	morale
w1158	tradition
w2011	auction
w3042	petty
w2699	shipment
w1546	tropical
w0396	10th - tenth
w2142	gesture
w1823	oven
w2887	endurance
w2444	county
w2573	inspect
w0705	serve
w0961	honor
w0884	deserve
w3646	delve
w2547	handicap
w1464	reader
w1099	rise
w0571	ideal
w3632	convene
w2274	profitable
w3681	docile
w0271	record
w2811	caterpillar
w3384	legislate
w2140	generous
w0814	badly
w3383	launder
w2904	fellow
w3163	accentuate
w2348	underneath
w0896	disturb
w3165	accumulate
w2481	diversity
w2027	bold
w1100	route
w1540	trance
w0485	decide
w0792	above all
w2824	compile
w1837	policy
w0789	worry
w1807	mortal
w3626	congregate
w0501	dominant
w1167	tube
w0050	camera
w0221	now
w3404	mutual
w1103	sample
w3896	speck
w1702	ease
w0516	episode
w1646	cheerful
w3125	sustain
w0458	cheat
w3749	heresy
w2774	adjust
w1186	activist
w0719	social
w3452	profound
w1029	obviously
w2106	enthusiastic
w0500	document
w1211	aside from
w2136	fraud
w0292	sell
w3875	revoke
w1260	consider
w2709	sneeze
w2083	discipline
w0875	customer
