k	term
w1049	pleasure
w0783	weight
w3797	morose
w3295	elusive
w2282	recall
w2914	fracture
w3461	pursuit
w3019	nursery
w0601	lock
w1124	source
w3796	momentous
w1568	waterfall
w2086	disloyal
w1755	illness
w3242	consist
w2640	predict
w1308	ethical
w2966	innovate
w3919	thereby
w3857	rearing
w1044	personality
w3389	literate
w3491	secular
w0644	organism
w2113	establish
w0229	once
w0634	nurse
w1096	review
w1084	register
w1257	conference
w1046	pipe
w2047	committee
w3148	violate
w2333	tend
w3218	carve
w1517	study
w0007	after
w2283	refund
w0117	fly
w0283	run, ran
w1309	even
w3309	exceed
w1291	divorce
w2549	harmful
w0782	weapon
w1026	note
w1744	gather
w2173	injure
w3701	epitomize
w1946	trigger
w3291	dwell
w0526	expert
w0793	absurd
w3771	interminable
w1941	toes
w2473	disorder
w2072	declare
w0078	diet
w1502	sight
w2035	capital
w1471	reduce
w3413	nurture
w3552	wickedly
w3592	attire
w2725	suppress
w0577	installation
w0709	shield
w2924	graceful
w3477	renovate
w0534	fashion
w2145	gross
w1636	cage
w2438	contribute
w1259	confusion
w3716	flagrant
w2025	blow, blew
w2392	aspect
w2736	transaction
w1102	salary
w0523	excellent
w1452	quote
w3624	congenial
w0401	8th - eighth
w1976	abandon
w2291	respectfully
w1457	randomly
w2042	coal
w2571	initiated
w2478	distribute
w3611	comprise
w2633	petroleum
w0698	saga
w0926	fan
w2857	density
w0200	middle
w1379	irregular
w3843	predestined
w2875	disuse
w3590	astound
w0651	parent
w1236	calculator
w0428	authentic
w2781	airborne
w3853	prowess
w0775	vegetarian
w1036	patient
w2196	leopard
w0596	level
w1759	imprisonment
w2370	yet
w3859	rebuttal
w0714	skill
w2476	distinguish
w2269	prevention
w1370	independence
w3361	indifference
w2555	hypothesis
w0745	survival
w1154	title
w3847	proliferate
w3278	disclose
w0084	done
w0666	prehistoric
w0127	future
w3610	commute
w1524	symmetry
w1031	opposite
w3192	arise, arose
w2749	unify
w3455	prospective
w2187	joyous
w3332	fugitive
w1879	reveal
w0536	filter
w0650	paradox
w2165	in spite of
w2385	amusement
w3931	uphold
w1527	tact
w1739	fund
w3436	pose
w3377	intrusive
w2867	dismiss
w3450	probation
w3572	agitate
w2100	endangered
w1854	rapidly
w3261	czar
w3142	vacant
w3500	silkworm
