k	term
w3807	numerator
w3039	persuade
w3168	acquitted
w2771	acknowledge
w0365	village
w3243	consolidate
w0550	garden
w3475	reliance
w3414	nutrient
w2817	characteristic
w3609	commends
w1719	existence
w3940	vigorously
w2797	audit
w0491	destroy
w3469	recipient
w3765	inherent
w2901	extinction
w2773	adequate
w1487	savanna
w3122	superficial
w3865	reinvigorate
w0286	save
w2607	monarch
w1819	orbit
w0334	support
w1576	within
w1572	wherever
w0862	confirm
w0358	turn
w2746	uncover
w2446	craftsmen
w3196	assertion
w0018	another
w2599	masculine
w0331	suddenly
w1670	cough
w1927	submit
w0785	wise
w2503	erosion
w3762	infancy
w0653	pause
w2911	foresee
w3820	owing to
w2841	cougar
w3815	omit
w1340	fortune
w2466	differentiate
w1488	seafood
w0437	bedroom
w1580	worm
w1736	frequently
w3091	revitalize
w3835	poacher
w3759	incline
w2216	migrate
w1208	artistic
w0245	perhaps
w2163	in contrast to
w0204	model
w1924	struggle
w0986	intelligence
w3869	renown
w2592	legacy
w2674	relating
w3739	gratify
w2596	malfunction
w0138	hand
w1463	ray
w1345	generally
w2214	memorize
w3631	contend
w3735	gland
w2250	parenting
w2945	ignite
w3007	mortality
w1728	feature
w2662	recruit
w1811	nowadays
w2217	migration
w3124	surrounding
w3112	sorrow
w1329	fatal
w0077	die
w1866	reject
w0598	library
w3842	predecessors
w1704	elderly
w2619	offense
w3728	frugal
w2683	restriction
w1353	Gulf War
w3519	suburban
w0150	how
w0841	chapter
w1030	opportunity
w1535	tight
w1583	absolute
w1399	mercy
w3055	principal
w0274	report
w0713	size
w2777	advocate
w2107	entirely
w0015	and
w3026	odor
w2118	eyesight
w0082	difficult
w2479	distribution
w0422	as long as
w3024	occupy
w2958	indebted
w1453	race
w0265	protect
w2976	laid
w2673	relate
w1323	factor
w0389	without
w1321	export
w2550	herb
w2057	contest
w3371	insulate
w2610	narration
w2560	imitation
w0300	sign
w0325	still
w3088	retain
w0590	knife (knives)
w2376	adopt
w0692	rocket
w3587	aspiration
w1226	best-seller
w2688	revived
w2363	visualize
w0892	disaster
w2223	mountainside
w1602	association
w3330	foster
w0163	in fact
w0179	later
w0586	jungle
w0174	kill
w0852	combat
w0306	situation
w1090	replace
w3872	respectively
w1412	navigate
w2510	exceptional
w2739	trim
w3423	overdue
