k	term
w2692	robe
w2906	fine
w2255	permit
w3424	overlooked
w0231	open
w0506	echo
w0289	school
w0318	special
w0715	skin
w0918	exchange
w3719	fluctuation
w3696	enclosure
w2114	every now and then
w0787	wood
w0829	bottom
w3942	vociferous
w0062	cold
w3036	pedestrian
w1153	tie
w0545	found
w3547	vowel
w2918	furthermore
w3935	utter
w1281	deliver
w0668	presentation
w1591	afterwards
w0710	shoulder
w1871	require
w2988	massacre
w0826	block
w3267	deficiency
w0695	root
w0574	in that case
w3382	latter
w3101	shatter
w1140	surely
w3229	comparable
w3562	acclaim
w0617	miss
w0858	complete
w2205	mailman
w1360	humorous
w3752	immersion
w1274	creature
w3018	numerous
w1827	parallel
w3672	disparage
w3467	rear
w0773	use
w1938	territory
w1490	seek
w2166	inactivity
w1797	luxury
w2346	uncountable
w2135	fortunate
w2276	property
w0997	lake
w0408	after all
w0567	hid from
w2465	dictate
w1972	whistle
w1769	inform
w3310	excel
w2895	exhale
w2556	identical
w2031	broadcast
w2805	boundary
w0208	mountain
w3675	disseminate
w0113	find
w0849	coin
w2077	demographic
w0185	light
w1776	institute
w3478	repressive
w2745	unconventional
w1381	label
w1143	survive
w3344	hazard
w0461	chronic
w1705	eliminate
w0285	salt
w2494	emphasize
w3092	rid
w2622	outcome
w3401	mold
w3359	incomprehensible
w0733	steal
w1282	depend on
w3020	nutrition
w2397	availability
w0867	cost
w3834	plummet
w3557	abacus
w0262	probably
w2611	negotiation
w2903	fatigue
w1195	all in all
w2677	renovation
w1395	marketing
w0915	exact
w2055	confession
w2957	incompetence
w3642	defiance
w0750	tax
w2562	immune
w0639	on top of
w0361	until
w2637	populate
w2814	cemetery
w2578	interpret
w2723	superb
w0977	incredible
w1406	monument
w2859	despair
w1326	faith
w1652	commercial
w3085	restoration
w2948	imitate
w2732	terrain
w3412	noted
w0146	horse
w2091	dull
w3023	obstacle
w2487	dwarf
w0043	brain
w2241	oppose
w3615	concerted
w3944	withhold
w0190	luck
w1715	essential
w0152	human
w0410	aggressive
w2406	careless
w3334	glimpse
w3535	unfold
w2561	immigrate
w1484	rough
w3326	fluency
w3782	leisurely
w3601	candid
w0799	actress
w3082	resemble
w0417	along with
w2371	accelerate
w3907	strife
w0803	agreement
w3358	incentive
w1697	district
w3045	pioneer
