k	term
w1478	replica
w2407	caution
w3854	punctuate
w1277	dare
w0342	thank
w0448	candy
w2515	expedition
w0830	brave
w0439	begin/an/un
w1078	reaction
w1374	instantly
w2552	hesitate
w0712	silver
w3306	esteemed
w1892	satisfy
w2989	mastery
w0394	young
w3456	prosperity
w1163	trap
w1543	translator
w2208	manner
w0656	pet
w3403	mundane
w1519	sundown
w1761	in conclusion
w2889	enhance
w1875	resistance
w1684	define
w0762	triple
w3489	scope
w2934	hazardous
w0411	ahead of
w3811	obstinate
w2202	luggage
w3778	lamentable
w2147	gunpowder
w2211	mathematician
w0022	around
w1800	meanwhile
w0425	asked for
w0930	field
w2635	poll
w3253	counsel
w2410	clarify
w2374	accuracy
w2872	distinct
w1063	product
w1978	abuse
w0416	along
w3616	concise
w2943	howl
w0170	Jew
w0167	inside
w3678	diurnal
w1528	take place
w0032	before
w0180	laugh
w3829	persecution
w1234	by now
w1000	led to
w0024	as
w0851	coma
w2144	graduate
w3420	originate
w3574	albeit
w0769	unlock
w2851	decline
w0725	speed
w2375	accusation
w1649	climate
w0886	destiny
w2654	quake
w0311	snow
w1467	recordings
w3250	correspond
w0235	over
w1324	fairy
w3105	sincerity
w0246	person
w3233	comprehend
w0279	ride
w3153	wanted
w3599	bolster
w2782	allowance
w1746	granddaughter
w0753	tiny
w1891	satisfaction
w2234	occur
w2795	assemble
w0212	near
w1694	diary
w3339	groom
w3810	obscure
w2372	acceptance
w0131	government
w0412	airplane
w1563	victim
w1687	dental
w2008	assume
w0647	package
w3855	quarrelsome
w2475	distinction
w0507	ecological
w1164	treatment
w0350	through
w1010	medicine
w2961	infiltrate
w0390	wonderful
w1292	dominate
w3086	restrain
w2051	concern
w0134	group
w3841	poultry
w1762	income
w1773	insanity
w0614	mental
w0427	at last
w1824	oxygen
w3769	insurrection
w3104	sighting
w3620	confer
w1627	bore
w0355	touch
w1717	exception
w3746	hegemony
w3171	administer
w1677	curiosity
w3149	violation
w2237	old-fashioned
w3370	inquiry
w2656	railroad
w0595	legal
w3005	mole
w3119	straightforward
w0655	percent
w1639	carpet
w0107	fear
w1632	bully
w1596	approve
w3482	rigid
w3465	readily
w3488	saw
w1883	roast
w2040	closure
w0913	equipment
w3271	delusions
w1189	advantage
w2661	recreate
w2388	antique
w3580	ancestry
