k	term
w0392	worse
w0618	mission
w1584	acceptable
w2345	unconscious
w2994	merely
w0006	absolutely
w2459	desirable
w1904	silk
w0815	balance
w2874	distress
w2951	impose
w2614	obtain
w1060	prison
w1935	swallow
w0951	grandson
w1691	destination
w0546	freeze, froze
w1785	labor
w3688	embalm
w1806	moral
w0755	tour
w0187	link
w2287	remarkable
w1306	epic
w1492	select
w2391	artifact
w0625	nature
w0938	for instance
w0680	reflex
w3246	contemporary
w3428	perceive
w0734	stereotype
w3629	conspicuous
w2651	purification
w2860	despise
w2405	canal
w2339	trace
w1685	degree
w1435	predator
w3459	proximity
w1251	coach
w1663	contain
w2531	fluid
w3670	dislocate
w1396	mass
w3129	testify
w0135	grow up
w2458	dense
w1113	shadow
w2067	crossroad
w3510	steamship
w1498	share
w1726	extension
w0011	almost
w3561	abstain
w0186	like
w1405	mode
w3663	devoid
w1363	illusion
w0184	lie
w2952	imprisoned
w1231	brilliant
w1372	insect
w2081	determine
w3937	vertebrate
w1735	foundation
w3041	petition
w3704	exert
w2439	convoy
w2238	on the contrary
w0031	because of
w0916	except
w3288	draw
w3868	render
w2831	conserve
w2088	doorstep
w2157	illustrator
w1278	decorative
w0376	what
w0788	worldwide
w3225	coexistence
w1626	boot
w0219	nose
w3089	retrieve
w3094	rural
w1451	quite
w3206	bead
w1393	major
w1654	compare
w2693	ruler
w3928	underlies
w1475	relations
w0533	farm
w0099	experience
w3462	quantify
w2527	findings
w0493	diagram
w3939	vie
w0340	teeth, tooth
w2923	grace
w3099	sentiments
w2600	masterpiece
w1918	steel
w1971	wheat
w1789	lifetime
w1741	gain
w2457	denial
w3506	splendid
w1076	raise
w0087	drink
w2786	ancestor
w1319	explore
w2681	resigned
w1959	valuable
w1861	recognition
w3866	relapse
w3157	weave
w1533	therefore
w1511	spread
w3080	remedy
w1166	truly
w3430	persuasive
w1185	wing
w0807	arrive
w3084	resilience
w3387	linger
w2509	evident
w3644	delicacy
w3230	comparatively
w3017	numb
w0430	band
w1369	indeed
w3824	peddler
w0559	golden
w3021	oath
w2262	polish
w3066	rail
w2471	disgust
w1240	cave
w3249	convey
w3200	attendant
w3566	adorn
w1368	incident
w3889	slate
w2820	coffin
w2852	dedicate
w1930	suitable
w2236	odd
w0899	during
w3176	allocate
