k	term
w2273	procedure
w1876	resort
w3856	quench
w1263	contract
w1598	article
w3496	seizure
w3923	tormented
w2878	drawback
w1903	significant
w2097	embryo
w0196	media
w3175	alienation
w2794	arousing
w1253	cognitive
w1688	dentist
w2705	simultaneously
w3131	toad
w1765	industry
w1552	unorganized
w3772	invariably
w0963	however
w3214	burden
w0888	development
w1080	recent
w0227	often
w1852	purse
w0638	oil
w1513	stamina
w1745	glove
w0987	intense
w0386	winter
w1998	appreciate
w1980	accurate
w1970	weigh
w2240	onion
w1577	witness
w2232	objection
w1482	retroactive
w3321	fertile
w1255	compete
w2955	inadequate
w2313	sophisticated
w1445	proper
w3143	validity
w1297	duty
w3930	upheaval
