k	term
w3787	lucrative
w0889	device
w2870	disregard
w3044	pinch
w3542	verse
w1564	view
w3258	crude
w0058	clean
w1991	analogy
w0818	beard
w3079	remainder
w2529	flee, fled
w0096	every day
w0226	offer
w3785	lineage
w1700	double standard
w2464	dialect
w2834	continuity
w1246	chief
w0301	simple
w3098	sensible
w2280	radically
w3162	abundance
w2750	urban
w2204	magnificent
w1671	craft
w0880	department
w1503	significantly
w2866	disgrace
w0817	battle
w2493	emphasis
w1382	laboratory
w3191	arguably
w0810	attractive
w2491	elect
w2001	argue
w2244	organ
w0049	call
w1900	shelter
w3276	differences
w0466	comic
w0844	childhood
w2005	as far as
w2193	legalize
w2413	coastline
w0689	ring, rang
w3532	undermine
w0902	editor
w0211	must
w0239	pass
w1696	distant
w1686	demand
w2325	stun
w1012	method
w2518	exposure
w3350	illicit
w3895	solitude
w1536	timeline
w3794	misconception
w0823	birth
w1135	strength
w3871	respective
w1990	ambition
w3063	province
w2239	once in a while
w2639	precision
w1919	sticky
w0041	both
w3150	viper
w1171	unusual
w1322	external
w3372	intermediary
w1243	certain
w3722	forerunner
w3441	poverty-stricken
w3236	conclusively
w1367	in particular
w0990	invisible
w1058	pride
w0282	road
w3860	reciprocal
w0118	follow
w1737	frightening
w0665	powerful
w3283	disprove
w2322	steam
w2271	prior
w1747	greet
w3480	riddle
w3886	shroud
w1427	painter
w3641	deem
w0663	pilot
w0068	cool
w2921	glance
w2804	blood vessel
w3336	gracious
w2936	herd
w2506	evaluate
w2270	prey
w2433	consistent
w1656	concentrate
w2706	skyscraper
w1894	secure
w2602	medicinal
w3388	literacy
w3234	conceal
w2784	alternate
w1056	prevent
w3299	emulate
w1516	storage
w2660	reconstruct
w2836	controversial
w2826	conduct
w3379	irrigation
w3517	subsequent
w3594	baffled
w0037	between
w0183	less
w3352	illuminate
w3628	consonant
w1820	origin
w2021	biblical
w2543	grave
w1489	seeds
w1549	unite
w3597	bland
w1232	bullet
w2302	sequel
w3346	heir
w0613	member
w3409	nonetheless
w1091	reporter
w0242	peace
w0707	shape
w0801	adventure
w2980	limb
w3473	reign
w3486	sanctuary
w0280	right
w2915	fragrance
w2759	voyage
w2213	memorial
w2719	suburb
w2455	deform
w1951	uncertain
w3882	scrutinize
w0020	area
w0065	contact
w0254	pool
