k	term
w2206	maintain
w0249	place
w0426	astronomy
w2907	firm
w1459	rank
w2908	footage
w0946	gene
w1618	behave
w3801	negligible
w2079	deposit
w2684	resume
w0091	energy
w0811	available
w3894	solicit
w1794	lone
w2415	collaborate
w3576	allure
w1355	heartbeat
w0929	fever
w1316	excite
w2738	transmitter
w1065	progress
w1443	primitive
w2617	occasions
w3508	standardize
w0891	disappear
w0406	address
w3711	facilitate
w0034	behind
w1122	slow down
w1843	principle
w2499	enroll
w0237	pain
w1499	shelf (shelves)
w1709	encourage
w0833	capture
w2741	troop
w0952	guide
w2119	facility
w0399	6th - sixth
w3900	sprawling
w1187	actually
w1334	fingerprint
w1729	feminine
w2188	judgment
w1648	cliff
w2554	humble
w0296	shop
w1132	standard
w2534	frequency
w0706	set up
w3366	inflammation
w1117	signal
w1778	intention
w2352	unimaginable
w0010	agree
w0912	environment
w3505	spectacle
w0253	play
w2424	comprehension
w0328	strong
w1221	bacteria
w1250	clever
w2621	orderly
w2203	lyric
w0486	defense
w2856	demented
w3068	recreation
w0868	courage
w0937	fool
w0042	bought
w1441	priest
w3446	prescribe
w0036	better
w2569	infrastructure
w2425	compress
w3115	steer
w0462	circle
w2399	awareness
w1979	account
w1888	rumor
w1227	beyond
w3747	herald
w1219	aware
w0305	sir
w1532	theoretically
w2064	council
w0765	ugly
w0223	ocean
w1782	investment
w2548	harass
w3179	amend
w0480	cross
w1325	fairytale
w1604	attach
w2768	accomplish
w1416	numeric
w2691	rivalry
w1523	symbolize
w3314	expenditure
w0527	explanation
w3397	mediocre
w2977	lean
w2367	vulnerable
w0119	force
w0191	lunch
w0494	dictator
w0529	extreme
w0835	carry
w3219	cavity
w3877	rudimentary
w3016	notion
w1943	toward
w2638	postpone
w1461	rather than
w0278	rich
w1075	rage
w1812	objective
w1508	speaker
w3275	derive
w0703	sense
w0374	weekend
w1772	initially
w1953	unfortunate
w1389	likely
w0834	carefully
w3070	recur
w2016	bend
w0225	of course
w0847	climb
w0890	director
w0967	ignore
w2884	emerge
w0478	create
w0897	drag
w1081	recently
w1466	reborn
w2630	participate
w1402	minister
w1344	further
w2663	recurring
w3057	prohibit
w2227	negotiate
w2222	monumental
w2775	admirable
w3497	seldom
w3174	algae
w3002	moderate
w3081	repelled
w0520	even though
