k	term
w3918	tentative
w1134	stomach
w0796	according
w3680	divinity
w2176	insist
w0250	plan
w1383	layer
w3254	counterpart
w1062	process
w0894	disease
w1303	emperor
w2579	interpretation
w2885	emigrate
w1768	infinite
w3706	expedite
w0832	cancer
w0681	relevant
w0103	fall
w3901	staple
w1615	ban
w1129	spirit
w2530	fluent
w0098	excuse
w1825	pad
w3825	penned
w3806	nuisance
w0067	control
w3103	shortage
w0948	gentle
w1622	blend
w3279	discriminate
w1969	wealthy
w0463	clock
w0303	singer
w1682	defeat
w1714	erase
w1893	sculpture
w0013	also
w2133	formulate
w0591	language
w1385	leadership
w0005	about
w3010	naval
w3369	inquire
w2331	sweep
w0626	neck
w3419	orient
w2299	scale
w1934	suspicious
w1237	campaign
w0240	past
w0045	building
w3351	illiterate
w3538	uprising
w2789	appeal
w3878	sarcophagus
w3211	bias
w1981	actual
w0696	rope
w3285	disruption
w3127	tendency
w0737	strategy
w2221	monk
w1229	breathe
w3862	reconcile
w3513	strive
w1338	fork
w2384	altogether
w3001	mock
w3440	pottery
w2992	mechanize
w1479	reply
w3712	fad
w1767	infection
w2835	contradiction
w3217	capital punishment
w0496	direct
w0674	question
w2950	imply
w1420	on one hand...on the other hand
w3917	tangible
w2175	insert
w1954	unlike
w1952	underestimate
w2890	enthusiast
w0682	remove
w1493	selective
w3683	draw (drew)
w1397	mate
w2199	literal
w1333	filmmaker
w2381	agony
w2575	intentional
w2883	embrace
w3053	presume
w2341	trial
w0039	boat
w1059	priority
w0809	attention
w0436	beauty
w1944	traffic jam
w0193	made
w2218	minority
w2224	narcotic
w2104	enormous
w1414	not only... but also...
w0778	virtual
w0290	search
w2812	cattle
w1318	expectations
w3418	ordinarily
w0224	of
w3006	moreover
w1070	pump
w2109	envelope
w0794	accept
w0124	from
w1486	sacrifice
w2373	accessible
w2089	dozen
w2877	divine
w0824	bite
w1828	particularly
w1165	truck
w3463	ratify
w3121	subtraction
w1275	curse
w0566	hero
w1176	violence
w2259	plague
w0887	develop
w3051	prejudice
w0276	restaurant
w2427	confront
w1723	express
w3457	prosperous
w2201	loudspeaker
w1610	average
w2080	desert
w1727	facial
w1699	dose
w0998	lawyer
w2947	ignorant
w2492	emblem
w2480	disturbance
w0319	spend
w3134	transcript
w2095	educate
w0051	cash
w0064	company
