לכפתר	דחייה: שקופה			ספק: דנומינטיב שקוף מ"כפתור" שכל תלמיד מכיר
לל	דחייה: רעש			
ללבוש	דחייה: שכיחה			
ללגלג	דחייה: שכיחה			
ללחלח	דחייה: שכיחה			
ללשון	דחייה: שכיחה			
למגינת	מועמד	לִמְגִנַּת לִבּוֹ	-	
למה	דחייה: שכיחה			
למוח	דחייה: שכיחה			
למוטט	דחייה: שכיחה			
למזוג	דחייה: שכיחה			
למחוק	דחייה: שכיחה			
למחות	דחייה: הומוגרף			ספק: מָחָה=הביע מחאה (שכיחה) או מָחָה=מחק (ספרותית) — אין משפט להכרעה
למטה	דחייה: שכיחה			
למכור	דחייה: שכיחה			
לממש	דחייה: שכיחה			
למנוסים	דחייה: שכיחה			
למנוע	דחייה: שכיחה			
למסיים	דחייה: שכיחה			
למספר	דחייה: שכיחה			
למען	דחייה: שכיחה			
למעשנים	דחייה: שכיחה			
למקור	דחייה: שכיחה			
למתוח	דחייה: שכיחה			
לנהוג	דחייה: שכיחה			
לנוזל	דחייה: שכיחה			
לנחש	דחייה: שכיחה			
לנמנע	דחייה: שכיחה			
לנעול	דחייה: שכיחה			
לנקז	דחייה: שכיחה			ספק: מוכר לכול דרך "ניקוז"
לנקמה	דחייה: שכיחה			
לסגת	דחייה: שכיחה			
לסורו	מועמד	חָזַר לְסוּרוֹ	-	
לסחוט	דחייה: שכיחה			
לסטודנטים	דחייה: שכיחה			
לסיימו	דחייה: שכיחה			
לסימנים	דחייה: שכיחה			
לסכן	דחייה: שכיחה			
לסכסך	דחייה: שכיחה			ספק: מוכר דרך "סכסוך"
לעובדיו	דחייה: שכיחה			
לעודד	דחייה: שכיחה			
לעומתם	דחייה: שכיחה			
לעזור	דחייה: שכיחה			
לעטוף	דחייה: שכיחה			
לעכב	דחייה: שכיחה			
לענוד	דחייה: שכיחה			ספק: "לענוד תכשיט" מוכר לרוב התלמידים
לעניין	דחייה: שכיחה			
לעניינים	דחייה: שכיחה			
לעצור	דחייה: שכיחה			
לעצתה	דחייה: שכיחה			
לעשב	דחייה: שקופה			ספק: דנומינטיב שקוף מ"עשב"
לעשן	דחייה: שכיחה			
לפהק	דחייה: שכיחה			
לפורר	דחייה: שכיחה			
לפחד	דחייה: שכיחה			
לפירוט	דחייה: שכיחה			
לפנינו	דחייה: שכיחה			
לפסק	דחייה: הומוגרף			ספק: לְפַסֵּק (פיסוק) או לִפְסֹק (כתיב חסר) — אין הקשר להכרעה
לפענח	דחייה: שכיחה			
לפרוט	דחייה: שקופה			ספק: נגזר שקוף מ"פרט"/"פרוטה" המוכרים
לפשוט	דחייה: שכיחה			
לפתור	דחייה: שכיחה			
לצוות	דחייה: הומוגרף			ספק: לְצַוֵּת, לְצַוּוֹת או ל+צֶוֶת — אין הקשר להכרעה
לצותת	דחייה: שכיחה			ספק: מוכר מהתקשורת (האזנות סתר)
לצחצח	דחייה: שכיחה			
לציבור	דחייה: שכיחה			
לציית	דחייה: שכיחה			
לצפייה	דחייה: שכיחה			
לק	דחייה: רעש			ספק: אולי לַק — לועזית ממילא
לקידום	דחייה: שכיחה			
לקלוע	דחייה: שכיחה			
לקלות	דחייה: הומוגרף			ספק: ל+קַלּוּת או לִקְלוֹת (לייבש בחום) — אין משפט להכרעה
לקמט	דחייה: שכיחה			
לקראת	דחייה: שכיחה			
לקרוס	דחייה: שכיחה			
לקרות	דחייה: שכיחה			
לקשט	דחייה: שכיחה			
לראות	דחייה: שכיחה			
לרבים	דחייה: שכיחה			
לרגע	דחייה: שכיחה			
