להבין	דחייה: שכיחה			
להימנע	דחייה: שכיחה			
להסתיר	דחייה: שכיחה			
להעניק	דחייה: שכיחה			
להשפיע	דחייה: שכיחה			
להתגלות	דחייה: שכיחה			
למצוא	דחייה: שכיחה			
לעומת	דחייה: רעש			מילית יחס, לא ערך לימודי
לקלף	דחייה: שכיחה			
לשאול	דחייה: שכיחה			
לשכנע	דחייה: שכיחה			
לשלם	דחייה: שכיחה			
לשמוע	דחייה: שכיחה			
לשנות	דחייה: שכיחה			
לתקן	דחייה: שכיחה			
מאמין	דחייה: שכיחה			
מדויק	דחייה: שכיחה			
מחבת	דחייה: שכיחה			
מחזאי	דחייה: שקופה			
מחייבת	דחייה: שכיחה			
מחילה	דחייה: הומוגרף			ספק: סליחה (מ-ח-ל, שורש קיים) או מנהרה — אי-אפשר להכריע מהציטוטים
מטוס	דחייה: שכיחה			
מטרה	דחייה: שכיחה			
ממש	דחייה: שכיחה			
מסוכן	דחייה: שכיחה			
מפחיד	דחייה: שכיחה			
מקרב	דחייה: שכיחה			
מרובה	דחייה: שכיחה			
משאבים	דחייה: שכיחה			
משכיל	דחייה: שכיחה			
מתקשה	דחייה: שכיחה			
נכון	דחייה: שכיחה			
נמנעו	דחייה: שכיחה			
סירב	דחייה: שכיחה			
סכנה	דחייה: שכיחה			
סרט	דחייה: שכיחה			
עונש	דחייה: שכיחה			
ענן	דחייה: שכיחה			
עץ	דחייה: שכיחה			
עתה	דחייה: שכיחה			
פחד	דחייה: שכיחה			
פחדן	דחייה: שכיחה			
קול	דחייה: שכיחה			
קליל	דחייה: שכיחה			
קליפה	דחייה: שכיחה			
קצר	דחייה: שכיחה			
רוצה	דחייה: שכיחה			
רטוב	דחייה: שכיחה			
רצוי	דחייה: שכיחה			
שב	דחייה: שכיחה			
שביר	דחייה: שכיחה			
שכנע	דחייה: שכיחה			
שעון	דחייה: שכיחה			
שער	דחייה: שכיחה			
תכנן	דחייה: שכיחה			
תנאי	דחייה: שכיחה			
תקווה	דחייה: שכיחה			
תריס	דחייה: שכיחה			
תשלום	דחייה: שכיחה			
אבדה	דחייה: שכיחה			
אביו	דחייה: נטייה			
אדנית	דחייה: שורש-קיים			
אדריכל	דחייה: שכיחה			
אהב	דחייה: שכיחה			
אוויר	דחייה: שכיחה			
אוכלוסייה	דחייה: שכיחה			
אולי	דחייה: שכיחה			
אופי	דחייה: שכיחה			
אות	דחייה: שכיחה			
איום	דחייה: שכיחה			
איטי	דחייה: שכיחה			
אישיותו	דחייה: נטייה			
איתו	דחייה: רעש			מילית יחס נטויה
אכילה	דחייה: שכיחה			
אליה	דחייה: רעש			מילית יחס נטויה (אֵלֶיהָ)
ארנק	דחייה: שכיחה			
אשמה	דחייה: שכיחה			
אתמול	דחייה: שכיחה			
בא	דחייה: שכיחה			
בגדים	דחייה: שכיחה			
