בד	דחייה: שכיחה			
בהחלט	דחייה: שכיחה			
בהצלחה	דחייה: שכיחה			
בהרבה	דחייה: שכיחה			
בוודאי	דחייה: שכיחה			
בידי	דחייה: שכיחה			
בישר	דחייה: שורש-קיים			ספק: אותו רצף שורש (ב-ש-ר) כערך קיים; גם אם מדובר בשורש הומונימי — ספק ⇒ דחייה
בלתי נמנע	דחייה: שקופה			ספק: צירוף שקוף מבנית — בלתי + נמנע
במדינה	דחייה: שכיחה			
במיוחד	דחייה: שכיחה			
בנה	דחייה: שכיחה			
בנייה	דחייה: שכיחה			
בניין	דחייה: שכיחה			
בסדר	דחייה: שכיחה			
בפועל	דחייה: שכיחה			
בקבוק	דחייה: שכיחה			
בקרבת	דחייה: שכיחה			
ברז	דחייה: שכיחה			
בריאות	דחייה: שכיחה			
גבול	דחייה: שכיחה			
גדר	דחייה: שכיחה			
גשם	דחייה: שכיחה			
דג	דחייה: שכיחה			
דחה	דחייה: שכיחה			
דין	דחייה: שכיחה			
דף	דחייה: שכיחה			
הבחין	דחייה: שכיחה			
הבין	דחייה: שכיחה			
הדגים	דחייה: שכיחה			
הדגשה	דחייה: שכיחה			
הזהיר	דחייה: שכיחה			
החברה	דחייה: שכיחה			
החינוך	דחייה: שכיחה			
החליט	דחייה: שכיחה			
החליש	דחייה: שכיחה			
החלמה	דחייה: שכיחה			
החשוב	דחייה: שכיחה			
החשש	דחייה: שכיחה			
הטענה	דחייה: שכיחה			
הישג	דחייה: שכיחה			
הלוואי	דחייה: שכיחה			
המוזיקה	דחייה: שכיחה			
המחבר	דחייה: שכיחה			
המידה	דחייה: שכיחה			
המעודד	דחייה: שכיחה			
העדיף	דחייה: שכיחה			
העובדים	דחייה: שכיחה			
העלה	דחייה: שכיחה			
העניש	דחייה: שכיחה			
הפחיד	דחייה: שכיחה			
הצומח	דחייה: שכיחה			
הצלחה	דחייה: שכיחה			
הצעה	דחייה: שכיחה			
הרגיז	דחייה: שכיחה			
השכלה	דחייה: שכיחה			
השתתף	דחייה: שכיחה			
התביעה	דחייה: שכיחה			
התושבים	דחייה: שכיחה			
התחבק	דחייה: שכיחה			
התלקח	דחייה: שורש-קיים			ספק: אותו שורש (ל-ק-ח) כערך קיים; אין עדות שהמבחן בוחן אותם כזוג נבדל
התנצל	דחייה: שכיחה			
התעודד	דחייה: שכיחה			
ויכוח	דחייה: שכיחה			
ותיקים	דחייה: שכיחה			
זהירות	דחייה: שכיחה			
זית	דחייה: שכיחה			
זמם	דחייה: שורש-קיים			
זריז	דחייה: שכיחה			
חבוי	דחייה: שקופה			ספק: פָּעוּל שקוף משורש מוכר (התחבא, מחבוא)
חובה	דחייה: שכיחה			
חולה	דחייה: שכיחה			
חולני	דחייה: שקופה			ספק: גזירה שקופה חולה+ָנִי
חי	דחייה: שכיחה			
חיבק	דחייה: שכיחה			
חיה	דחייה: שכיחה			
חיריק	דחייה: שכיחה			ספק: מונח ניקוד הנלמד ביסודי
חם	דחייה: שכיחה			
חשש	דחייה: שכיחה			
חתך	דחייה: שכיחה			
טבח	דחייה: שכיחה			ספק: הומוגרף טַבָּח/טֶבַח — שתי הקריאות שכיחות
