# autumn_2023 · fmt=A · analogy=107 · completion=149
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
סבוך	סבוך	analogy	1	1	רגל	full	סבוך
להתיר	להתיר	analogy	1	1	רגל	full	התיר
שביר	שביר	analogy	1	1	מסיח 1	close	שבר
לתקן	לתקן	analogy	1	1	מסיח 1	miss	
חבוי	חבוי	analogy	1	1	מסיח 2	miss	
למצוא	למצוא	analogy	1	1	מסיח 2	close	מצא
לכווץ	לכווץ	analogy	1	1	מסיח 3	miss	
בולט	בולט	analogy	1	1	מסיח 4	miss	
להבחין	להבחין	analogy	1	1	מסיח 4	miss	
מחבת	מחבת	analogy	1	2	רגל	miss	
לאכול	לאכול	analogy	1	2	רגל	close	אכל
שמיכה	שמיכה	analogy	1	2	מסיח 1	miss	
לישון	לישון	analogy	1	2	מסיח 1	miss	
עט	עט	analogy	1	2	מסיח 2	full	עט
לקרוא	לקרוא	analogy	1	2	מסיח 2	miss	
מחט	מחט	analogy	1	2	מסיח 3	miss	
להשחיל	להשחיל	analogy	1	2	מסיח 3	close	שחל
גרזן	גרזן	analogy	1	2	מסיח 4	close	רזנ
לחטוב	לחטוב	analogy	1	2	מסיח 4	full	חוטב
מחל	מחל	analogy	1	3	רגל	full	מחל
נסלח	נסלח	analogy	1	3	רגל	miss	
שתק	שתק	analogy	1	3	מסיח 1	miss	
נאלם	נאלם	analogy	1	3	מסיח 1	full	נאלם
הסביר	הסביר	analogy	1	3	מסיח 2	full	סבר
בואר	בואר	analogy	1	3	מסיח 2	full	ביאור
משך	משך	analogy	1	3	מסיח 3	close	משכ
נקרע	נקרע	analogy	1	3	מסיח 3	close	נקר
פשע	פשע	analogy	1	3	מסיח 4	miss	
נשפט	נשפט	analogy	1	3	מסיח 4	close	נשפ
נורה	נורה	analogy	1	4	רגל	miss	
כבויה	כבויה	analogy	1	4	רגל	miss	
פרח	פרח	analogy	1	4	מסיח 1	close	פרח
נבול	נבול	analogy	1	4	מסיח 1	miss	
ברז	ברז	analogy	1	4	מסיח 2	miss	
דולף	דולף	analogy	1	4	מסיח 2	full	דלף
תריס	תריס	analogy	1	4	מסיח 3	close	תרס
פתוח	פתוח	analogy	1	4	מסיח 3	miss	
קפץ	קפץ	analogy	1	5	רגל	full	קופיץ
סגור	סגור	analogy	1	5	רגל	full	סוגר
חג	חג	analogy	1	5	מסיח 1	full	חג
עגול	עגול	analogy	1	5	מסיח 1	close	עגל
צנח	צנח	analogy	1	5	מסיח 2	miss	
זקף	זקף	analogy	1	5	מסיח 3	full	זקף
ניצב	ניצב	analogy	1	5	מסיח 3	full	נציב
ניבל את פיו	ניבל את פיו	analogy	1	6	רגל	full	ניבל את פיו
גסות	גסות	analogy	1	6	רגל	miss	
הלבין את פניו	הלבין את פניו	analogy	1	6	מסיח 1	close	לבנ
בושה	בושה	analogy	1	6	מסיח 1	miss	
חשק את שיניו	חשק את שיניו	analogy	1	6	מסיח 2	close	חשק
כעס	כעס	analogy	1	6	מסיח 2	miss	
דיבר על ליבו	דיבר על ליבו	analogy	1	6	מסיח 3	full	דיבר על ליבו
שכנוע	שכנוע	analogy	1	6	מסיח 3	close	כנע
דיבר גבוהה גבוהה	דיבר גבוהה גבוהה	analogy	1	6	מסיח 4	full	דיבר גבוהה גבוהה
מליצה	מליצה	analogy	1	6	מסיח 4	full	מליצה
רוגטקה	רוגטקה	analogy	2	1	רגל	miss	
