# spring_2022 · fmt=A · analogy=108 · completion=112
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
חיריק	חיריק	analogy	1	1	רגל	miss	
לנקד	לנקד	analogy	1	1	רגל	full	נוקד
גוון	גוון	analogy	1	1	מסיח 1	miss	
לצבוע	לצבוע	analogy	1	1	מסיח 1	full	צבוע
להכפיל	להכפיל	analogy	1	1	מסיח 2	miss	
מעיל	מעיל	analogy	1	1	מסיח 3	full	מעל
לרכוס	לרכוס	analogy	1	1	מסיח 3	full	רכס
קינמון	קינמון	analogy	1	1	מסיח 4	miss	
לתבל	לתבל	analogy	1	1	מסיח 4	full	תבל
מנכ״ל	מנכ"ל	analogy	1	2	רגל	miss	
עובד	עובד	analogy	1	2	רגל	miss	
חובל	חובל	analogy	1	2	מסיח 1	close	חבל
מלח	מלח	analogy	1	2	מסיח 1	full	מלח
חייל	חייל	analogy	1	2	מסיח 2	full	חיל
טירון	טירון	analogy	1	2	מסיח 2	full	טירון
שופט	שופט	analogy	1	2	מסיח 3	miss	
עורך דין	עורך דין	analogy	1	2	מסיח 3	miss	
סוהר	סוהר	analogy	1	2	מסיח 4	full	סהר
אסיר	אסיר	analogy	1	2	מסיח 4	miss	
כרה	כרה	analogy	1	3	רגל	full	כרה
בור	בור	analogy	1	3	רגל	full	בור
שתל	שתל	analogy	1	3	מסיח 1	miss	
שתיל	שתיל	analogy	1	3	מסיח 1	miss	
האכיל	האכיל	analogy	1	3	מסיח 2	close	אכל
אוכל	אוכל	analogy	1	3	מסיח 2	close	אכל
הדביק	הדביק	analogy	1	3	מסיח 3	full	דבק
דבק	דבק	analogy	1	3	מסיח 3	full	דבק
צייר	צייר	analogy	1	3	מסיח 4	full	צור
ציור	ציור	analogy	1	3	מסיח 4	full	צור
החליש	החליש	analogy	1	4	רגל	miss	
מיגר	מיגר	analogy	1	4	רגל	full	מיגר
עלעל	עלעל	analogy	1	4	מסיח 2	full	עלעל
רפרף	רפרף	analogy	1	4	מסיח 2	miss	
ערער	ערער	analogy	1	4	מסיח 3	miss	
הסכים	הסכים	analogy	1	4	מסיח 3	full	סכם
עפעף	עפעף	analogy	1	4	מסיח 4	close	עפעפ
פלבל	פלבל	analogy	1	4	מסיח 4	close	לבל
תחינה	תחינה	analogy	1	5	רגל	full	תחינה
ליבו נכמר	ליבו נכמר	analogy	1	5	רגל	close	לבו
פשרה	פשרה	analogy	1	5	מסיח 1	close	שרה
נאבק	נאבק	analogy	1	5	מסיח 1	close	אבק
תזכורת	תזכורת	analogy	1	5	מסיח 2	close	זכר
נזכר	נזכר	analogy	1	5	מסיח 2	close	זכר
צידוק	צידוק	analogy	1	5	מסיח 3	close	צדק
הצטדק	הצטדק	analogy	1	5	מסיח 3	miss	
תשלום	תשלום	analogy	1	5	מסיח 4	miss	
התמקח	התמקח	analogy	1	5	מסיח 4	miss	
מגדל קלפים	מגדל קלפים	analogy	1	6	רגל	close	גדל
יציב	יציב	analogy	1	6	רגל	miss	
גירד	גירד	analogy	2	1	רגל	miss	
ציפורן	ציפורן	analogy	2	1	רגל	close	צפר
ליקק	ליקק	analogy	2	1	מסיח 1	miss	
לשון	לשון	analogy	2	1	מסיח 1	miss	
סטר	סטר	analogy	2	1	מסיח 2	miss	
לחי	לחי	analogy	2	1	מסיח 2	miss	
מצמץ	מצמץ	analogy	2	1	מסיח 3	miss	
עין	עין	analogy	2	1	מסיח 3	full	עוין
ענד	ענד	analogy	2	1	מסיח 4	miss	
תנוך	תנוך	analogy	2	1	מסיח 4	full	תנוך
מידע	מידע	analogy	2	2	רגל	miss	
סקרן	סקרן	analogy	2	2	רגל	close	קרנ
עמדות	עמדות	analogy	2	2	מסיח 1	close	עמד
דעתן	דעתן	analogy	2	2	מסיח 1	full	דעתן
כסף	כסף	analogy	2	2	מסיח 2	close	כספ
בזבזן	בזבזן	analogy	2	2	מסיח 2	miss	
תאווה	תאווה	analogy	2	2	מסיח 3	miss	
חמדן	חמדן	analogy	2	2	מסיח 3	full	חמדן
הישגים	הישגים	analogy	2	2	מסיח 4	miss	
שאפתן	שאפתן	analogy	2	2	מסיח 4	miss	
להיחפז	להיחפז	analogy	2	3	רגל	close	חפז
לזרז	לזרז	analogy	2	3	רגל	miss	
להימלט	להימלט	analogy	2	3	מסיח 1	miss	
לרדוף	לרדוף	analogy	2	3	מסיח 1	miss	
להקשיב	להקשיב	analogy	2	3	מסיח 2	close	להק
להאזין	להאזין	analogy	2	3	מסיח 2	miss	
להיזהר	להיזהר	analogy	2	3	מסיח 3	close	זהר
להתריע	להתריע	analogy	2	3	מסיח 3	full	התריע
להיעזר	להיעזר	analogy	2	3	מסיח 4	miss	
להזדקק	להזדקק	analogy	2	3	מסיח 4	miss	
מחלפות	מחלפות	analogy	2	4	רגל	close	מחל
מספריים	מספריים	analogy	2	4	רגל	close	ספר
נדן	נדן	analogy	2	4	מסיח 1	full	נדן
חרב	חרב	analogy	2	4	מסיח 1	full	חרב
חיטה	חיטה	analogy	2	4	מסיח 2	miss	
מגל	מגל	analogy	2	4	מסיח 2	full	מגל
מאכלת	מאכלת	analogy	2	4	מסיח 3	full	מאכלת
סכין	סכין	analogy	2	4	מסיח 3	close	סכנ
שן	שן	analogy	2	4	מסיח 4	miss	
מסור	מסור	analogy	2	4	מסיח 4	miss	
מנומר	מנומר	analogy	2	5	רגל	full	מנומר
חברבורה	חברבורה	analogy	2	5	רגל	miss	
מכופתר	מכופתר	analogy	2	5	מסיח 1	close	כפת
