# autumn_2025 · fmt=A · analogy=112 · completion=122
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
מחניק	מחניק	analogy	1	1	רגל	miss	
נשימה	נשימה	analogy	1	1	רגל	miss	
אפלולי	אפלולי	analogy	1	1	מסיח 1	full	אפלולי
ראייה	ראייה	analogy	1	1	מסיח 1	miss	
לוהט	לוהט	analogy	1	1	מסיח 2	full	להוט
הזעה	הזעה	analogy	1	1	מסיח 2	miss	
רעיל	רעיל	analogy	1	1	מסיח 3	close	רעל
אכילה	אכילה	analogy	1	1	מסיח 3	close	אכל
מטונף	מטונף	analogy	1	1	מסיח 4	miss	
רחצה	רחצה	analogy	1	1	מסיח 4	close	רחצ
סנגור	סנגור	analogy	1	2	רגל	full	סנגור
זיכוי	זיכוי	analogy	1	2	רגל	miss	
רופא	רופא	analogy	1	2	מסיח 1	close	רפא
אבחון	אבחון	analogy	1	2	מסיח 1	close	אבח
החלמה	החלמה	analogy	1	2	מסיח 4	miss	
אלומה	אלומה	analogy	1	3	רגל	full	אלומה
שיבולת	שיבולת	analogy	1	3	רגל	full	שיבולת
צעיף	צעיף	analogy	1	3	מסיח 1	miss	
צמר	צמר	analogy	1	3	מסיח 1	miss	
ילד	ילד	analogy	1	3	מסיח 2	close	ילד
סלט	סלט	analogy	1	3	מסיח 3	miss	
ירק	ירק	analogy	1	3	מסיח 3	miss	
מחברת	מחברת	analogy	1	3	מסיח 4	miss	
דף	דף	analogy	1	3	מסיח 4	miss	
אפשרות	אפשרות	analogy	1	4	רגל	close	פשר
סליחה	סליחה	analogy	1	4	מסיח 1	miss	
עלבון	עלבון	analogy	1	4	מסיח 1	close	לבנ
הלוואי	הלוואי	analogy	1	4	מסיח 2	miss	
תקווה	תקווה	analogy	1	4	מסיח 2	miss	
תוצאה	תוצאה	analogy	1	4	מסיח 3	miss	
בהצלחה	בהצלחה	analogy	1	4	מסיח 4	close	צלח
איחול	איחול	analogy	1	4	מסיח 4	miss	
ביקש	ביקש	analogy	1	5	רגל	close	בקש
שטח תחנוניו	שטח תחנוניו	analogy	1	5	רגל	close	חננ
שידל	שידל	analogy	1	5	מסיח 1	full	שידל
עמד בסירובו	עמד בסירובו	analogy	1	5	מסיח 1	close	עמד
פעל	פעל	analogy	1	5	מסיח 2	miss	
שינס מותניו	שינס מותניו	analogy	1	5	מסיח 2	full	שינס מותניו
בייש	בייש	analogy	1	5	מסיח 3	full	בוש
המיט קלון	המיט קלון	analogy	1	5	מסיח 3	close	המיט
אימץ	אימץ	analogy	1	5	מסיח 4	close	אמצ
דחה על הסף	דחה על הסף	analogy	1	5	מסיח 4	close	דחה
זורם	זורם	analogy	1	6	רגל	miss	
מוזרם	מוזרם	analogy	1	6	רגל	close	מזר
טומן	טומן	analogy	1	6	מסיח 1	close	טמנ
מוטמן	מוטמן	analogy	1	6	מסיח 1	close	טמנ
שומע	שומע	analogy	1	6	מסיח 2	miss	
מושמע	מושמע	analogy	1	6	מסיח 2	miss	
שותק	שותק	analogy	1	6	מסיח 3	miss	
מושתק	מושתק	analogy	1	6	מסיח 3	miss	
דואג	דואג	analogy	1	6	מסיח 4	miss	
מודאג	מודאג	analogy	1	6	מסיח 4	miss	
שחצן	שחצן	analogy	2	1	רגל	full	שחצן
להתרברב	להתרברב	analogy	2	1	רגל	close	התר
עצלן	עצלן	analogy	2	1	מסיח 1	miss	
להתאמץ	להתאמץ	analogy	2	1	מסיח 1	close	אמצ
רגשן	רגשן	analogy	2	1	מסיח 2	miss	
להתרגש	להתרגש	analogy	2	1	מסיח 2	close	התר
סכסכן	סכסכן	analogy	2	1	מסיח 3	close	סכנ
להסתכסך	להסתכסך	analogy	2	1	מסיח 3	miss	
פחדן	פחדן	analogy	2	1	מסיח 4	miss	
להפחיד	להפחיד	analogy	2	1	מסיח 4	close	הפח
קבל	קבל	analogy	2	2	רגל	full	קבל
תלונה	תלונה	analogy	2	2	רגל	miss	
התלבט	התלבט	analogy	2	2	מסיח 1	close	לבט
החלטה	החלטה	analogy	2	2	מסיח 1	miss	
שאל	שאל	analogy	2	2	מסיח 2	miss	
תשובה	תשובה	analogy	2	2	מסיח 2	close	שבה
בישר	בישר	analogy	2	2	מסיח 3	close	בשר
ידיעה	ידיעה	analogy	2	2	מסיח 3	close	ידע
שכנע	שכנע	analogy	2	2	מסיח 4	close	כנע
טיעון	טיעון	analogy	2	2	מסיח 4	miss	
דבורה	דבורה	analogy	2	3	רגל	full	דוברה
להמתיק	להמתיק	analogy	2	3	רגל	close	מתק
צורף	צורף	analogy	2	3	מסיח 1	full	צורף
לקשט	לקשט	analogy	2	3	מסיח 1	miss	
חייט	חייט	analogy	2	3	מסיח 2	full	חט
