# 2019_winter · fmt=B · analogy=113 · completion=102
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
שאל	שאל	analogy	1	1	רגל	miss	
תשובה	תשובה	analogy	1	1	רגל	close	שבה
בחר	בחר	analogy	1	1	מסיח 1	miss	
בררה	בררה	analogy	1	1	מסיח 1	miss	
ספר	ספר	analogy	1	1	מסיח 2	full	ספר
התנצל	התנצל	analogy	1	1	מסיח 3	miss	
מחילה	מחילה	analogy	1	1	מסיח 3	close	מחל
התגרש	התגרש	analogy	1	1	לא-זוהה	close	תגר
נישואין	נישואין	analogy	1	1	לא-זוהה	close	נשא
לפסק	לפסק	analogy	1	2	רגל	miss	
סימני פיסוק	סימני פיסוק	analogy	1	2	רגל	close	מני
להלחין	להלחין	analogy	1	2	מסיח 1	miss	
לחן	לחן	analogy	1	2	מסיח 1	miss	
להפחיד	להפחיד	analogy	1	2	מסיח 2	close	הפח
פחד	פחד	analogy	1	2	מסיח 2	miss	
להקציף	להקציף	analogy	1	2	מסיח 3	close	הקצ
קצף	קצף	analogy	1	2	מסיח 3	full	קצף
להמליח	להמליח	analogy	1	2	מסיח 4	close	מלח
מלח	מלח	analogy	1	2	מסיח 4	full	מלח
עת	עת	analogy	1	3	רגל	full	עווית
עתה	עתה	analogy	1	3	רגל	miss	
מזמן	מזמן	analogy	1	3	מסיח 1	miss	
כאן	כאן	analogy	1	3	מסיח 2	miss	
הנה	הנה	analogy	1	3	מסיח 2	full	הונה
מקום	מקום	analogy	1	3	מסיח 3	miss	
פה	פה	analogy	1	3	מסיח 3	miss	
אתמול	אתמול	analogy	1	3	לא-זוהה	miss	
עלווה	עלווה	analogy	1	4	רגל	close	עלה
דקה	דקה	analogy	1	4	מסיח 1	miss	
שעה	שעה	analogy	1	4	מסיח 1	full	שעה
פסגה	פסגה	analogy	1	4	מסיח 2	miss	
רכס	רכס	analogy	1	4	מסיח 2	full	רכס
תושב	תושב	analogy	1	4	מסיח 3	miss	
אוכלוסייה	אוכלוסייה	analogy	1	4	מסיח 3	close	אכל
סולן	סולן	analogy	1	4	מסיח 4	miss	
מקהלה	מקהלה	analogy	1	4	מסיח 4	close	הלה
זרדים	זרדים	analogy	1	5	רגל	full	זרד
לקושש	לקושש	analogy	1	5	רגל	full	קושש
לפתור	לפתור	analogy	1	5	מסיח 1	close	לפת
שיער	שיער	analogy	1	5	מסיח 2	miss	
לסרק	לסרק	analogy	1	5	מסיח 2	full	סרק
