# summer_2025 · fmt=A · analogy=105 · completion=141
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
תפוז	תפוז	analogy	1	1	רגל	miss	
פלח	פלח	analogy	1	1	רגל	full	פילח
תירס	תירס	analogy	1	1	מסיח 1	close	תרס
קלח	קלח	analogy	1	1	מסיח 1	full	קלח
מדף	מדף	analogy	1	1	מסיח 2	miss	
ספר	ספר	analogy	1	1	מסיח 2	full	ספר
עיר	עיר	analogy	1	1	מסיח 3	full	עיר
רובע	רובע	analogy	1	1	מסיח 3	miss	
שמים	שמים	analogy	1	1	מסיח 4	full	שומם
ענן	ענן	analogy	1	1	מסיח 4	miss	
שרבט	שרבט	analogy	1	2	רגל	full	שרבט
צייר	צייר	analogy	1	2	רגל	full	צור
רפרף	רפרף	analogy	1	2	מסיח 1	miss	
קרא	קרא	analogy	1	2	מסיח 1	miss	
טפטף	טפטף	analogy	1	2	מסיח 2	miss	
שפך	שפך	analogy	1	2	מסיח 2	miss	
הסביר	הסביר	analogy	1	2	מסיח 3	full	סבר
הבין	הבין	analogy	1	2	מסיח 3	miss	
תמצת	תמצת	analogy	1	2	מסיח 4	miss	
סיכם	סיכם	analogy	1	2	מסיח 4	full	סכם
בור	בור	analogy	1	3	רגל	full	בור
כרה	כרה	analogy	1	3	רגל	full	כרה
עץ	עץ	analogy	1	3	מסיח 1	miss	
עקר	עקר	analogy	1	3	מסיח 1	full	עקר
כביש	כביש	analogy	1	3	מסיח 2	full	כבש
סלל	סלל	analogy	1	3	מסיח 2	miss	
יתד	יתד	analogy	1	3	מסיח 3	full	יתד
תקע	תקע	analogy	1	3	מסיח 3	miss	
סלע	סלע	analogy	1	3	מסיח 4	close	סלע
סיתת	סיתת	analogy	1	3	מסיח 4	full	סתת
כורעת ללדת	כורעת ללדת	analogy	1	4	רגל	close	כרע
ילדה	ילדה	analogy	1	4	רגל	close	ילד
נוח לכעוס	נוח לכעוס	analogy	1	4	מסיח 1	full	נוח לכעוס
כעס	כעס	analogy	1	4	מסיח 1	miss	
מחשב להישבר	מחשב להישבר	analogy	1	4	מסיח 2	close	שבר
נשבר	נשבר	analogy	1	4	מסיח 2	close	שבר
מפליא מכותיו	מפליא מכותיו	analogy	1	4	מסיח 3	close	פלא
הוכה	הוכה	analogy	1	4	מסיח 3	close	הכה
חומד לצון	חומד לצון	analogy	1	4	מסיח 4	full	חמד לצון
התלוצץ	התלוצץ	analogy	1	4	מסיח 4	close	התל
חרקים	חרקים	analogy	1	5	רגל	miss	
מאכלים	מאכלים	analogy	1	5	מסיח 1	close	אכל
תבשילים	תבשילים	analogy	1	5	מסיח 1	close	בשל
ימים	ימים	analogy	1	5	מסיח 2	full	יומם
אגמים	אגמים	analogy	1	5	מסיח 2	miss	
משפטים	משפטים	analogy	1	5	מסיח 3	miss	
ידיים	ידיים	analogy	1	5	מסיח 4	close	ידי
ציפורניים	ציפורניים	analogy	1	5	מסיח 4	close	צפר
תפל	תפל	analogy	1	6	רגל	full	תפל
חמוץ	חמוץ	analogy	1	6	רגל	close	חמצ
דומם	דומם	analogy	1	6	מסיח 1	full	דומם
מתק תק	מתק תק	analogy	1	6	מסיח 1	close	מתק
צלול	צלול	analogy	1	6	מסיח 2	full	צלול
עכור	עכור	analogy	1	6	מסיח 2	full	עכור
רך	רך	analogy	1	6	מסיח 3	miss	
ענוג	ענוג	analogy	1	6	מסיח 3	miss	
דהוי	דהוי	analogy	1	6	מסיח 4	full	דהוי
צבוע	צבוע	analogy	1	6	מסיח 4	full	צבוע
מזוודה	מזוודה	analogy	2	1	רגל	miss	
לארוז	לארוז	analogy	2	1	רגל	miss	
קלסר	קלסר	analogy	2	1	מסיח 1	close	קלס
לתייק	לתייק	analogy	2	1	מסיח 1	miss	
שידה	שידה	analogy	2	1	מסיח 2	full	שידה
לרהט	לרהט	analogy	2	1	מסיח 2	full	רהוט
ארנק	ארנק	analogy	2	1	מסיח 3	miss	
לשלם	לשלם	analogy	2	1	מסיח 3	miss	
