# winter_2022 · fmt=A · analogy=109 · completion=178
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
מגבת	מגבת	analogy	1	1	רגל	miss	
רטוב	רטוב	analogy	1	1	רגל	miss	
מחבת	מחבת	analogy	1	1	מסיח 1	miss	
רעב	רעב	analogy	1	1	מסיח 1	miss	
מיטה	מיטה	analogy	1	1	מסיח 2	miss	
ישן	ישן	analogy	1	1	מסיח 2	miss	
חולה	חולה	analogy	1	1	מסיח 3	miss	
אמבט	אמבט	analogy	1	1	מסיח 4	miss	
נקי	נקי	analogy	1	1	מסיח 4	close	נקי
עונה	עונה	analogy	1	2	רגל	miss	
סהר	סהר	analogy	1	2	מסיח 1	full	סהר
ירח	ירח	analogy	1	2	מסיח 1	miss	
חודש	חודש	analogy	1	2	מסיח 2	miss	
חולצה	חולצה	analogy	1	2	מסיח 3	close	חלצ
סוודר	סוודר	analogy	1	2	מסיח 3	full	סודר
יבשת	יבשת	analogy	1	2	מסיח 4	miss	
אסיה	אסיה	analogy	1	2	מסיח 4	miss	
לטוות	לטוות	analogy	1	3	רגל	miss	
לתפור	לתפור	analogy	1	3	רגל	miss	
לסתת	לסתת	analogy	1	3	מסיח 1	full	סתת
לבנות	לבנות	analogy	1	3	מסיח 1	full	ליבן
לדובב	לדובב	analogy	1	3	מסיח 2	full	דובב
לשתוק	לשתוק	analogy	1	3	מסיח 2	miss	
להשקות	להשקות	analogy	1	3	מסיח 3	close	שקת
לרוות	לרוות	analogy	1	3	מסיח 3	miss	
לבקש	לבקש	analogy	1	3	מסיח 4	close	בקש
למאן	למאן	analogy	1	3	מסיח 4	full	מאן
דלק	דלק	analogy	1	4	רגל	full	דלק
תחנת דלק	תחנת דלק	analogy	1	4	רגל	close	דלק
חשמל	חשמל	analogy	1	4	מסיח 1	miss	
תחנת כוח	תחנת כוח	analogy	1	4	מסיח 1	miss	
ביצים	ביצים	analogy	1	4	מסיח 2	miss	
לול	לול	analogy	1	4	מסיח 2	miss	
כרטיסים	כרטיסים	analogy	1	4	מסיח 3	miss	
קופה	קופה	analogy	1	4	מסיח 3	miss	
ספרים	ספרים	analogy	1	4	מסיח 4	full	ספר
ספרייה	ספרייה	analogy	1	4	מסיח 4	close	ספר
עקב אכילס	עקב אכילס	analogy	1	5	רגל	full	עקב אכילס
חולשה	חולשה	analogy	1	5	רגל	miss	
קו פרשת המים	קו פרשת המים	analogy	1	5	מסיח 1	close	פרש
מפנה	מפנה	analogy	1	5	מסיח 1	close	פנה
בבת העין	בבת העין	analogy	1	5	מסיח 2	close	בבת
נקודת המבט	נקודת המבט	analogy	1	5	מסיח 3	close	נקד
מר אה	מר אה	analogy	1	5	מסיח 3	miss	
חלק הארי	חלק הארי	analogy	1	5	מסיח 4	full	חלק הארי
העלה	העלה	analogy	1	6	רגל	close	עלה
הורד	הורד	analogy	1	6	רגל	miss	
הרעיש	הרעיש	analogy	1	6	מסיח 1	miss	
הוסה	הוסה	analogy	1	6	מסיח 1	full	הסה
הצליח	הצליח	analogy	1	6	מסיח 2	full	צלח
הוכשל	הוכשל	analogy	1	6	מסיח 2	close	כשל
שיפץ	שיפץ	analogy	1	6	מסיח 3	miss	
הוחרב	הוחרב	analogy	1	6	מסיח 3	close	חרב
פישט	פישט	analogy	1	6	מסיח 4	close	פשט
סובך	סובך	analogy	1	6	מסיח 4	full	סבוך
אופניים	אופניים	analogy	2	1	רגל	close	פנמ
לדווש	לדווש	analogy	2	1	רגל	full	דש
חצוצרה	חצוצרה	analogy	2	1	מסיח 1	close	חצצ
לנשוף	לנשוף	analogy	2	1	מסיח 1	full	נשף
זכוכית	זכוכית	analogy	2	1	מסיח 2	close	זככ
לנפח	לנפח	analogy	2	1	מסיח 2	full	נפח
קומקום	קומקום	analogy	2	1	מסיח 3	miss	
לחמם	לחמם	analogy	2	1	מסיח 3	full	חמום
מקטרת	מקטרת	analogy	2	1	מסיח 4	miss	
לעשן	לעשן	analogy	2	1	מסיח 4	miss	
כבד פה	כבד פה	analogy	2	2	רגל	full	כבד פה
רהיטות	רהיטות	analogy	2	2	רגל	full	רהוט
קל דעת	קל דעת	analogy	2	2	מסיח 1	full	קל דעת
פזיזות	פזיזות	analogy	2	2	מסיח 1	full	פזיז
קל תפיסה	קל תפיסה	analogy	2	2	מסיח 2	miss	
הסבר	הסבר	analogy	2	2	מסיח 2	full	סבר
תחנונים	תחנונים	analogy	2	2	מסיח 3	close	חננ
קשה עורף	קשה עורף	analogy	2	2	מסיח 4	full	קשה עורף
פשרנות	פשרנות	analogy	2	2	מסיח 4	close	פשר
הענקה	הענקה	analogy	2	3	רגל	close	ענק
השעיה	השעיה	analogy	2	3	מסיח 1	full	שעה
פיטורין	פיטורין	analogy	2	3	מסיח 1	close	פטר
השכרה	השכרה	analogy	2	3	מסיח 2	close	כרה
תשלום	תשלום	analogy	2	3	מסיח 2	miss	
דיבוב	דיבוב	analogy	2	3	מסיח 3	full	דובב
שידוך	שידוך	analogy	2	3	מסיח 4	miss	
נישואין	נישואין	analogy	2	3	מסיח 4	close	נשא
מצרים	מצרים	analogy	2	4	רגל	full	מצר
מצרימה	מצרימה	analogy	2	4	רגל	close	רמה
עת	עת	analogy	2	4	מסיח 1	full	עווית
עתה	עתה	analogy	2	4	מסיח 1	miss	
שמאל	שמאל	analogy	2	4	מסיח 2	miss	
שמאלה	שמאלה	analogy	2	4	מסיח 2	miss	
הלום	הלום	analogy	2	4	מסיח 3	full	הלם
הנה	הנה	analogy	2	4	מסיח 3	full	הונה
תחתון	תחתון	analogy	2	4	מסיח 4	miss	
למטה	למטה	analogy	2	4	מסיח 4	miss	
נרגע	נרגע	analogy	2	5	מסיח 1	miss	
רגוע	רגוע	analogy	2	5	מסיח 1	miss	
התעצל	התעצל	analogy	2	5	מסיח 2	miss	
עצל	עצל	analogy	2	5	מסיח 2	miss	
התחמם	התחמם	analogy	2	5	מסיח 3	close	חממ
חמים	חמים	analogy	2	5	מסיח 3	full	חמום
תיקן	תיקן	analogy	2	5	מסיח 4	miss	
תקין	תקין	analogy	2	5	מסיח 4	miss	
אל נכון	אל נכון	analogy	2	6	רגל	full	אל נכון
ספק	ספק	analogy	2	6	רגל	close	ספק
לסירוגין	לסירוגין	analogy	2	6	מסיח 1	full	לסירוגין
ביוקר	ביוקר	analogy	2	6	מסיח 2	miss	
חינם	חינם	analogy	2	6	מסיח 2	miss	
לחינם	לחינם	analogy	2	6	מסיח 3	miss	
תועלת	תועלת	analogy	2	6	מסיח 3	miss	
במזיד	במזיד	analogy	2	6	מסיח 4	miss	
כוונה	כוונה	analogy	2	6	מסיח 4	miss	
איטי	איטי	completion	1	7	אפשרות 1	miss	
לשמש	לשמש	completion	1	7	אפשרות 1	miss	
אתגר	אתגר	completion	1	7	אפשרות 1	close	תגר
למנוסים	למנוסים	completion	1	7	אפשרות 1	miss	
שבמדענים	שבמדענים	completion	1	7	אפשרות 1	miss	
מסחרר	מסחרר	completion	1	7	אפשרות 2	close	חרר
ממש	ממש	completion	1	7	אפשרות 2	miss	
להיחשב	להיחשב	completion	1	7	אפשרות 2	miss	
למסתורין	למסתורין	completion	1	7	אפשרות 2	close	תרנ
גמור	גמור	completion	1	7	אפשרות 2	close	גמר
מדי	מדי	completion	1	7	אפשרות 3	miss	
להתבצע	להתבצע	completion	1	7	אפשרות 3	close	בצע
כעניין	כעניין	completion	1	7	אפשרות 3	miss	
שבשגרה	שבשגרה	completion	1	7	אפשרות 3	close	שגר
מהיר	מהיר	completion	1	7	אפשרות 4	close	מהר
לבצע	לבצע	completion	1	7	אפשרות 4	full	בצע
סטודנט	סטודנט	completion	1	7	אפשרות 4	miss	
מתחיל	מתחיל	completion	1	7	אפשרות 4	close	תחל
המוזיקה	המוזיקה	completion	1	7	אפשרות 4	miss	
הקצבית	הקצבית	completion	1	7	אפשרות 4	close	הקצ
שהושמעה	שהושמעה	completion	1	7	אפשרות 4	miss	
שלמה	שלמה	completion	1	7	אפשרות 4	miss	
אורי	אורי	completion	1	7	אפשרות 4	miss	
סבל	סבל	completion	1	8	אפשרות 1	full	סביל
להתנחם	להתנחם	completion	1	8	אפשרות 1	close	נחמ
אלרגי	אלרגי	completion	1	8	אפשרות 1	miss	
חובב	חובב	completion	1	8	אפשרות 2	miss	
מושבע	מושבע	completion	1	8	אפשרות 2	close	שבע
התלהב	התלהב	completion	1	8	אפשרות 3	close	התל
להתאכזב	להתאכזב	completion	1	8	אפשרות 3	close	כזב
סלוצקי	סלוצקי	completion	1	8	אפשרות 4	miss	
הגורס	הגורס	completion	1	8	אפשרות 4	full	גרס
יצירה	יצירה	completion	1	8	אפשרות 4	miss	
ספרותית	ספרותית	completion	1	8	אפשרות 4	close	ספר
קיימים	קיימים	completion	1	8	אפשרות 4	miss	
קווים	קווים	completion	1	8	אפשרות 4	miss	
המעידים	המעידים	completion	1	8	אפשרות 4	miss	
אישיותו	אישיותו	completion	1	8	אפשרות 4	miss	
המחבר	המחבר	completion	1	8	אפשרות 4	miss	
ברומברג	ברומברג	completion	1	8	אפשרות 4	close	ברמ
לעומת	לעומת	completion	1	9	אפשרות 1	miss	
