# summer_2023 · fmt=A · analogy=111 · completion=186
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
מתנצל	מתנצל	analogy	1	1	רגל	close	מתנ
מחילה	מחילה	analogy	1	1	רגל	close	מחל
מקבל	מקבל	analogy	1	1	מסיח 1	close	קבל
תודה	תודה	analogy	1	1	מסיח 1	miss	
מחפש	מחפש	analogy	1	1	מסיח 2	miss	
אבדה	אבדה	analogy	1	1	מסיח 2	close	אבד
מעפיל	מעפיל	analogy	1	1	מסיח 3	close	עפל
פסגה	פסגה	analogy	1	1	מסיח 3	miss	
שואל	שואל	analogy	1	1	מסיח 4	miss	
תשובה	תשובה	analogy	1	1	מסיח 4	close	שבה
הבהוב	הבהוב	analogy	1	2	רגל	miss	
אור	אור	analogy	1	2	רגל	miss	
טפטוף	טפטוף	analogy	1	2	מסיח 1	miss	
זמזום	זמזום	analogy	1	2	מסיח 2	miss	
קול	קול	analogy	1	2	מסיח 2	miss	
פטפוט	פטפוט	analogy	1	2	מסיח 3	miss	
דיבור	דיבור	analogy	1	2	מסיח 3	full	דביר
נדנוד	נדנוד	analogy	1	2	מסיח 4	close	נדנ
תנועה	תנועה	analogy	1	2	מסיח 4	miss	
ספק	ספק	analogy	1	3	רגל	close	ספק
אולי	אולי	analogy	1	3	רגל	miss	
תועלת	תועלת	analogy	1	3	מסיח 1	miss	
לשווא	לשווא	analogy	1	3	מסיח 1	full	לשוא
אכזבה	אכזבה	analogy	1	3	מסיח 2	close	כזב
הלוואי	הלוואי	analogy	1	3	מסיח 2	miss	
דחיפות	דחיפות	analogy	1	3	מסיח 3	close	חפת
לאל תר	לאל תר	analogy	1	3	מסיח 3	close	לאל
סיכום	סיכום	analogy	1	3	מסיח 4	full	סכם
סגפנות	סגפנות	analogy	1	4	רגל	full	סגפן
תענוג	תענוג	analogy	1	4	רגל	miss	
גרגרנות	גרגרנות	analogy	1	4	מסיח 1	full	גרגרן
מזון	מזון	analogy	1	4	מסיח 1	miss	
חלקלקות	חלקלקות	analogy	1	4	מסיח 2	close	חלק
חנופה	חנופה	analogy	1	4	מסיח 2	full	חנופה
שאפתנות	שאפתנות	analogy	1	4	מסיח 3	miss	
הישג	הישג	analogy	1	4	מסיח 3	miss	
זהירות	זהירות	analogy	1	4	מסיח 4	close	זהר
סכנה	סכנה	analogy	1	4	מסיח 4	close	סכנ
תחם	תחם	analogy	1	5	רגל	miss	
תחום	תחום	analogy	1	5	רגל	miss	
גידר	גידר	analogy	1	5	מסיח 2	miss	
גדר	גדר	analogy	1	5	מסיח 2	miss	
שילם	שילם	analogy	1	5	מסיח 3	miss	
תשלום	תשלום	analogy	1	5	מסיח 3	miss	
אימת	אימת	analogy	1	5	מסיח 4	close	אמת
אמת	אמת	analogy	1	5	מסיח 4	close	אמת
בית מידות	בית מידות	analogy	1	6	רגל	full	בית מידות
בית	בית	analogy	1	6	רגל	miss	
אוקיינוס	אוקיינוס	analogy	1	6	מסיח 1	miss	
חלקה	חלקה	analogy	1	6	מסיח 2	close	לקה
שדה	שדה	analogy	1	6	מסיח 2	full	שידה
סרט	סרט	analogy	1	6	מסיח 3	miss	
סרטון	סרטון	analogy	1	6	מסיח 3	close	רטנ
גלקסיה	גלקסיה	analogy	1	6	מסיח 4	miss	
כוכב	כוכב	analogy	1	6	מסיח 4	miss	
לבשל	לבשל	analogy	2	1	רגל	full	בשל
מרק	מרק	analogy	2	1	רגל	full	מירק
מכתב	מכתב	analogy	2	1	מסיח 1	miss	
למספר	למספר	analogy	2	1	מסיח 2	close	ספר
לרפד	לרפד	analogy	2	1	מסיח 3	miss	
ריפוד	ריפוד	analogy	2	1	מסיח 3	miss	
לתבל	לתבל	analogy	2	1	מסיח 4	full	תבל
תבלין	תבלין	analogy	2	1	מסיח 4	close	בלנ
נעילה	נעילה	analogy	2	2	רגל	close	עלה
מיתר	מיתר	analogy	2	2	מסיח 1	miss	
פריטה	פריטה	analogy	2	2	מסיח 1	close	רטה
מתג	מתג	analogy	2	2	מסיח 2	miss	
הדלקה	הדלקה	analogy	2	2	מסיח 2	close	דלק
רמזור	רמזור	analogy	2	2	מסיח 3	close	מזר
נסיעה	נסיעה	analogy	2	2	מסיח 3	miss	
מחט	מחט	analogy	2	2	מסיח 4	miss	
פרימה	פרימה	analogy	2	2	מסיח 4	close	פרמ
עדשה	עדשה	analogy	2	3	רגל	miss	
שקיפות	שקיפות	analogy	2	3	רגל	close	שקפ
מקהלה	מקהלה	analogy	2	3	מסיח 1	close	הלה
זמרה	זמרה	analogy	2	3	מסיח 1	close	זמר
מגלשה	מגלשה	analogy	2	3	מסיח 2	close	מגל
שיפוע	שיפוע	analogy	2	3	מסיח 2	miss	
מכבסה	מכבסה	analogy	2	3	מסיח 3	miss	
ניקיון	ניקיון	analogy	2	3	מסיח 3	miss	
מגבעת	מגבעת	analogy	2	3	מסיח 4	full	מגבעת
חבישה	חבישה	analogy	2	3	מסיח 4	close	חבש
התפורר	התפורר	analogy	2	4	רגל	miss	
פירורים	פירורים	analogy	2	4	רגל	miss	
רוצף	רוצף	analogy	2	4	מסיח 1	miss	
מרצפות	מרצפות	analogy	2	4	מסיח 1	miss	
התקמט	התקמט	analogy	2	4	מסיח 2	miss	
קמטים	קמטים	analogy	2	4	מסיח 2	miss	
התאייד	התאייד	analogy	2	4	מסיח 3	miss	
אדים	אדים	analogy	2	4	מסיח 3	full	אוד
חורר	חורר	analogy	2	4	מסיח 4	close	חרר
חורים	חורים	analogy	2	4	מסיח 4	miss	
צמח	צמח	analogy	2	5	רגל	miss	
בוטניקה	בוטניקה	analogy	2	5	רגל	close	בטנ
בלשנות	בלשנות	analogy	2	5	מסיח 1	close	שנת
הוגה	הוגה	analogy	2	5	מסיח 2	full	הגה
פילוסופיה	פילוסופיה	analogy	2	5	מסיח 2	close	פלס
