# spring_2024 · fmt=A · analogy=115 · completion=148
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
פחדן	פחדן	analogy	1	1	רגל	miss	
לפחד	לפחד	analogy	1	1	רגל	miss	
רגזן	רגזן	analogy	1	1	מסיח 1	miss	
להתעצבן	להתעצבן	analogy	1	1	מסיח 1	miss	
צייתן	צייתן	analogy	1	1	מסיח 2	full	ציתן
לצוות	לצוות	analogy	1	1	מסיח 2	miss	
מיומן	מיומן	analogy	1	1	מסיח 3	miss	
להתאמן	להתאמן	analogy	1	1	מסיח 3	close	אמנ
סקרן	סקרן	analogy	1	1	מסיח 4	close	קרנ
ללמוד	ללמוד	analogy	1	1	מסיח 4	close	למד
רוה	רוה	analogy	1	2	רגל	full	רוה
צמא	צמא	analogy	1	2	רגל	miss	
התעודד	התעודד	analogy	1	2	מסיח 1	miss	
דכדוך	דכדוך	analogy	1	2	מסיח 1	full	דכדוך
הדביק	הדביק	analogy	1	2	מסיח 2	full	דבק
חולי	חולי	analogy	1	2	מסיח 2	miss	
הזכיר	הזכיר	analogy	1	2	מסיח 3	close	זכר
שכחה	שכחה	analogy	1	2	מסיח 3	miss	
התמלא	התמלא	analogy	1	2	מסיח 4	close	מלא
עומס	עומס	analogy	1	2	מסיח 4	miss	
ירכתיים	ירכתיים	analogy	1	3	רגל	full	ירכתיים
חרטום	חרטום	analogy	1	3	רגל	full	חרטום
בניין	בניין	analogy	1	3	מסיח 1	miss	
גג	גג	analogy	1	3	מסיח 1	miss	
גלגלים	גלגלים	analogy	1	3	מסיח 2	close	גלגל
הגה	הגה	analogy	1	3	מסיח 2	full	הגה
שורש	שורש	analogy	1	3	מסיח 3	miss	
צמרת	צמרת	analogy	1	3	מסיח 3	close	מרת
רגליים	רגליים	analogy	1	3	מסיח 4	close	גלי
ידיים	ידיים	analogy	1	3	מסיח 4	close	ידי
היגר	היגר	analogy	1	4	רגל	full	יגור
הוגלה	הוגלה	analogy	1	4	רגל	full	הוגלה
מעד	מעד	analogy	1	4	מסיח 1	miss	
נחבל	נחבל	analogy	1	4	מסיח 1	close	חבל
גידף	גידף	analogy	1	4	מסיח 2	full	גידף
נעלב	נעלב	analogy	1	4	מסיח 2	miss	
הפקיר	הפקיר	analogy	1	4	מסיח 3	full	הפקיר
ננטש	ננטש	analogy	1	4	מסיח 3	close	נטש
הסתגר	הסתגר	analogy	1	4	מסיח 4	close	תגר
נכלא	נכלא	analogy	1	4	מסיח 4	close	נכל
נדיר	נדיר	analogy	1	5	רגל	miss	
שכיחות	שכיחות	analogy	1	5	רגל	full	שכיח
איטי	איטי	analogy	1	5	מסיח 1	miss	
קבוע	קבוע	analogy	1	5	מסיח 2	full	קובע
ארעיות	ארעיות	analogy	1	5	מסיח 2	full	ארעי
קטין	קטין	analogy	1	5	מסיח 3	full	קיטון
בגרות	בגרות	analogy	1	5	מסיח 3	miss	
זהיר	זהיר	analogy	1	5	מסיח 4	close	זהר
הסתכנות	הסתכנות	analogy	1	5	מסיח 4	close	תכנ
כלימה	כלימה	analogy	1	6	רגל	close	כלמ
