# summer_2021 · fmt=A · analogy=115 · completion=124
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
הרמת ידיים	הרמת ידיים	analogy	1	1	רגל	miss	
כניעה	כניעה	analogy	1	1	רגל	close	כנע
פיהוק	פיהוק	analogy	1	1	מסיח 1	miss	
שינה	שינה	analogy	1	1	מסיח 1	miss	
הנהון	הנהון	analogy	1	1	מסיח 2	close	הנה
הסכמה	הסכמה	analogy	1	1	מסיח 2	close	סכמ
עיטוש	עיטוש	analogy	1	1	מסיח 3	miss	
הצטננות	הצטננות	analogy	1	1	מסיח 3	miss	
חיוך	חיוך	analogy	1	1	מסיח 4	full	חך
שמחה	שמחה	analogy	1	1	מסיח 4	close	שמחה
לצותת	לצותת	analogy	1	2	רגל	miss	
הקשיב	הקשיב	analogy	1	2	רגל	miss	
לאיים	לאיים	analogy	1	2	מסיח 1	miss	
הרתיע	הרתיע	analogy	1	2	מסיח 1	full	הרתיע
לגנוב	לגנוב	analogy	1	2	מסיח 2	miss	
לקח	לקח	analogy	1	2	מסיח 2	full	לקח
להרביץ	להרביץ	analogy	1	2	מסיח 3	close	רבצ
הכה	הכה	analogy	1	2	מסיח 3	close	הכה
לרדוף	לרדוף	analogy	1	2	מסיח 4	miss	
נמלט	נמלט	analogy	1	2	מסיח 4	miss	
ארון בגדים	ארון בגדים	analogy	1	3	רגל	close	גדמ
בגד	בגד	analogy	1	3	רגל	miss	
תבנית	תבנית	analogy	1	3	מסיח 1	close	תבנ
עוגה	עוגה	analogy	1	3	מסיח 1	full	עגה
מלון	מלון	analogy	1	3	מסיח 2	miss	
חדר	חדר	analogy	1	3	מסיח 2	miss	
גינה	גינה	analogy	1	3	מסיח 3	close	גנה
פרח	פרח	analogy	1	3	מסיח 3	close	פרח
חניון	חניון	analogy	1	3	מסיח 4	close	חננ
מכונית	מכונית	analogy	1	3	מסיח 4	miss	
מגובב	מגובב	analogy	1	4	רגל	close	גבב
סדר	סדר	analogy	1	4	רגל	full	סודר
מוצפן	מוצפן	analogy	1	4	מסיח 1	close	צפנ
פשר	פשר	analogy	1	4	מסיח 1	full	פשר
תזזיתי	תזזיתי	analogy	1	4	מסיח 2	close	תזז
מנוחה	מנוחה	analogy	1	4	מסיח 2	close	נחה
אלמותי	אלמותי	analogy	1	4	מסיח 3	close	אלמ
צעיר	צעיר	analogy	1	4	מסיח 4	full	צוער
גיל	גיל	analogy	1	4	מסיח 4	miss	
התיילד	התיילד	analogy	1	5	רגל	close	התל
מבוגר	מבוגר	analogy	1	5	רגל	miss	
התרושש	התרושש	analogy	1	5	מסיח 1	full	התרושש
עשיר	עשיר	analogy	1	5	מסיח 1	miss	
הכחיש	הכחיש	analogy	1	5	מסיח 2	full	כחוש
אשם	אשם	analogy	1	5	מסיח 2	close	אשמ
הבליג	הבליג	analogy	1	5	מסיח 3	full	הבליג
כועס	כועס	analogy	1	5	מסיח 3	miss	
בנקל	בנקל	analogy	1	6	רגל	miss	
קושי	קושי	analogy	1	6	רגל	close	קשי
טיפין טיפין	טיפין טיפין	analogy	1	6	מסיח 1	full	טיפין טיפין
הדרגה	הדרגה	analogy	1	6	מסיח 1	close	הדר
להרף עין	להרף עין	analogy	1	6	מסיח 2	close	עין
כלאחר יד	כלאחר יד	analogy	1	6	מסיח 3	full	כלאחר יד
תשומת לב	תשומת לב	analogy	1	6	מסיח 3	miss	
בדיעבד	בדיעבד	analogy	1	6	מסיח 4	full	בדיעבד
מעשה	מעשה	analogy	1	6	מסיח 4	full	מעושה
מחושב	מחושב	analogy	2	1	רגל	miss	
שיקול דעת	שיקול דעת	analogy	2	1	רגל	close	דעת
סבלן	סבלן	analogy	2	1	מסיח 1	close	סבל
אורך רוח	אורך רוח	analogy	2	1	מסיח 1	full	אורך רוח
משכיל	משכיל	analogy	2	1	מסיח 2	close	משכ
כובד ראש	כובד ראש	analogy	2	1	מסיח 2	full	כבד ראש
אביון	אביון	analogy	2	1	מסיח 3	full	אביון
אוזלת יד	אוזלת יד	analogy	2	1	מסיח 3	full	אזלת יד
פזרן	פזרן	analogy	2	1	מסיח 4	full	פזרן
רוחב לב	רוחב לב	analogy	2	1	מסיח 4	close	רחב
גרזן	גרזן	analogy	2	2	רגל	close	רזנ
לברא	לברא	analogy	2	2	רגל	miss	
באר	באר	analogy	2	2	מסיח 1	full	ביאור
לשאוב	לשאוב	analogy	2	2	מסיח 1	miss	
נעל	נעל	analogy	2	2	מסיח 2	miss	
לחלוץ	לחלוץ	analogy	2	2	מסיח 2	close	חלצ
אריג	אריג	analogy	2	2	מסיח 3	full	ארג
לארוג	לארוג	analogy	2	2	מסיח 3	full	ארג
מזרק	מזרק	analogy	2	2	מסיח 4	close	מזר
לחסן	לחסן	analogy	2	2	מסיח 4	full	חסין
מהמורה	מהמורה	analogy	2	3	רגל	close	מרה
גשם	גשם	analogy	2	3	מסיח 1	close	גשמ
בצורת	בצורת	analogy	2	3	מסיח 1	close	בצר
גשר	גשר	analogy	2	3	מסיח 2	miss	
תהום	תהום	analogy	2	3	מסיח 2	miss	
אוויר	אוויר	analogy	2	3	מסיח 3	miss	
תקר	תקר	analogy	2	3	מסיח 3	miss	
עדשה	עדשה	analogy	2	3	מסיח 4	miss	
שריטה	שריטה	analogy	2	3	מסיח 4	close	רטה
מהנה	מהנה	analogy	2	4	רגל	close	הנה
הנאה	הנאה	analogy	2	4	רגל	close	נאה
מצחין	מצחין	analogy	2	4	מסיח 1	close	צחנ
צחנה	צחנה	analogy	2	4	מסיח 1	full	צחנה
מפחיד	מפחיד	analogy	2	4	מסיח 2	close	מפח
פחד	פחד	analogy	2	4	מסיח 2	miss	
מקנא	מקנא	analogy	2	4	מסיח 3	close	קנא
קנאה	קנאה	analogy	2	4	מסיח 3	close	נאה
מקשיב	מקשיב	analogy	2	4	מסיח 4	miss	
קשב	קשב	analogy	2	4	מסיח 4	miss	
הדיר את רגליו	הדיר את רגליו	analogy	2	5	רגל	close	הדיר
פקד	פקד	analogy	2	5	רגל	full	פקד
חשק את שפתיו	חשק את שפתיו	analogy	2	5	מסיח 1	close	חשק
דיבר	דיבר	analogy	2	5	מסיח 1	full	דביר
העלה חרס בידו	העלה חרס בידו	analogy	2	5	מסיח 2	full	העלה חרס בידו
נכשל	נכשל	analogy	2	5	מסיח 2	close	כשל
נמלט בעור שיניו	נמלט בעור שיניו	analogy	2	5	מסיח 3	close	בעור
ניצל	ניצל	analogy	2	5	מסיח 3	miss	
מרט את עצביו	מרט את עצביו	analogy	2	5	מסיח 4	close	מרט
הרגיע	הרגיע	analogy	2	5	מסיח 4	miss	
לולייני	לולייני	analogy	2	6	רגל	miss	
סליל	סליל	analogy	2	6	רגל	miss	
מחודד	מחודד	analogy	2	6	מסיח 1	miss	
כידון	כידון	analogy	2	6	מסיח 1	miss	
סגלגל	סגלגל	analogy	2	6	מסיח 2	full	סגלגל
ביצה	ביצה	analogy	2	6	מסיח 2	miss	
מקורזל	מקורזל	analogy	2	6	מסיח 3	miss	
שער	שער	analogy	2	6	מסיח 3	miss	
גבשושי	גבשושי	analogy	2	6	מסיח 4	close	בשש
בליטה	בליטה	analogy	2	6	מסיח 4	miss	
מפותח	מפותח	completion	1	10	אפשרות 1	miss	
מכל	מכל	completion	1	10	אפשרות 1	miss	
מובחן	מובחן	completion	1	10	אפשרות 1	miss	
זהה	זהה	completion	1	10	אפשרות 2	miss	
עדיפות	עדיפות	completion	1	10	אפשרות 2	miss	
ותיקים	ותיקים	completion	1	10	אפשרות 4	miss	
הסובקים	הסובקים	completion	1	10	אפשרות 4	miss	
והמולגים	והמולגים	completion	1	10	אפשרות 4	close	לגמ
