# 2019_spring · fmt=B · analogy=109 · completion=106
פריט	מנורמל	סוג	פרק	שאלה	תפקיד	תוצאה	התאמה
מושלם	מושלם	analogy	1	1	רגל	close	משל
פגם	פגם	analogy	1	1	רגל	miss	
תתרן	תתרן	analogy	1	1	לא-זוהה	full	תתרן
חמוץ	חמוץ	analogy	1	1	לא-זוהה	close	חמצ
סוכר	סוכר	analogy	1	1	לא-זוהה	full	סכר
עקור	עקור	analogy	1	1	לא-זוהה	full	עקר
שורשים	שורשים	analogy	1	1	לא-זוהה	miss	
תוכן	תוכן	analogy	1	1	לא-זוהה	close	תכנ
לשכנע	לשכנע	analogy	1	2	רגל	close	כנע
לטעון	לטעון	analogy	1	2	רגל	miss	
להציג	להציג	analogy	1	2	לא-זוהה	miss	
להסתיר	להסתיר	analogy	1	2	לא-זוהה	close	סתר
להסמיק	להסמיק	analogy	1	2	לא-זוהה	close	סמק
להביך	להביך	analogy	1	2	לא-זוהה	miss	
לקלוע	לקלוע	analogy	1	2	לא-זוהה	close	קלע
לזרוק	לזרוק	analogy	1	2	לא-זוהה	miss	
לשאול	לשאול	analogy	1	2	לא-זוהה	miss	
לענות	לענות	analogy	1	2	לא-זוהה	full	עוין
הסתפק	הסתפק	analogy	1	3	רגל	miss	
מספיק	מספיק	analogy	1	3	רגל	close	ספק
הרצין	הרצין	analogy	1	3	לא-זוהה	miss	
רציני	רציני	analogy	1	3	לא-זוהה	miss	
הגזים	הגזים	analogy	1	3	לא-זוהה	full	גז
מוגזם	מוגזם	analogy	1	3	לא-זוהה	close	גזמ
העדיף	העדיף	analogy	1	3	לא-זוהה	miss	
עדיף	עדיף	analogy	1	3	לא-זוהה	miss	
הבטיח	הבטיח	analogy	1	3	לא-זוהה	close	בטח
מובטח	מובטח	analogy	1	3	לא-זוהה	close	בטח
כמוסה	כמוסה	analogy	1	4	רגל	close	מסה
מזרק	מזרק	analogy	1	4	רגל	close	מזר
דף	דף	analogy	1	4	לא-זוהה	miss	
ספר	ספר	analogy	1	4	לא-זוהה	full	ספר
פטיש	פטיש	analogy	1	4	לא-זוהה	miss	
מסור	מסור	analogy	1	4	לא-זוהה	miss	
פתח	פתח	analogy	1	4	לא-זוהה	miss	
אשנב	אשנב	analogy	1	4	לא-זוהה	full	אשנב
גפרור	גפרור	analogy	1	4	לא-זוהה	miss	
מצית	מצית	analogy	1	4	לא-זוהה	miss	
תו	תו	analogy	1	5	רגל	miss	
סימפוניה	סימפוניה	analogy	1	5	רגל	close	פנה
ספרה	ספרה	analogy	1	5	לא-זוהה	close	ספר
מתמטיקה	מתמטיקה	analogy	1	5	לא-זוהה	miss	
אות	אות	analogy	1	5	לא-זוהה	miss	
ניקוד	ניקוד	analogy	1	5	לא-זוהה	full	נוקד
רומן	רומן	analogy	1	5	לא-זוהה	miss	
התגושש	התגושש	analogy	1	6	רגל	close	גשש
התגוששות	התגוששות	analogy	1	6	רגל	close	גשש
חיתן	חיתן	analogy	1	6	לא-זוהה	miss	
חתונה	חתונה	analogy	1	6	לא-זוהה	miss	
התייעץ	התייעץ	analogy	1	6	לא-זוהה	miss	
ייעוץ	ייעוץ	analogy	1	6	לא-זוהה	close	יעצ
נפגש	נפגש	analogy	1	6	לא-זוהה	miss	
מפגש	מפגש	analogy	1	6	לא-זוהה	miss	
רדף	רדף	analogy	1	6	לא-זוהה	miss	
מרדף	מרדף	analogy	1	6	לא-זוהה	miss	
למחול	למחול	analogy	2	1	רגל	full	מחל
בלתי נסלח	בלתי נסלח	analogy	2	1	רגל	close	בלתי
לגבור	לגבור	analogy	2	1	לא-זוהה	full	גביר
בלתי מנוצח	בלתי מנוצח	analogy	2	1	לא-זוהה	close	בלתי
בלתי ראוי	בלתי ראוי	analogy	2	1	לא-זוהה	close	בלתי
לנחש	לנחש	analogy	2	1	לא-זוהה	miss	
בלתי ידוע	בלתי ידוע	analogy	2	1	לא-זוהה	close	בלתי
לקרות	לקרות	analogy	2	1	לא-זוהה	close	קרת
בלתי נמנע	בלתי נמנע	analogy	2	1	לא-זוהה	close	בלתי
חיריק	חיריק	analogy	2	2	רגל	miss	
נקודה	נקודה	analogy	2	2	רגל	close	נקד
תרמיל	תרמיל	analogy	2	2	לא-זוהה	miss	
